Category,Program,Condition Code,Condition Name,Profiles,Profile Has Special Case,MMGs,Special Case Group,Special Case MMGs
Arboviral Diseases,NCEZID,10062,Eastern equine encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10063,Powassan virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10064,St. Louis encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10065,Western equine encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10066,Cache Valley virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10067,Venezuelan equine encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10068,Japanese encephalitis virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10072,Other Arboviral,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10073,Chikungunya virus ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10074,Tick-borne Encephalitis viruses ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10078,"Jamestown CNoon virus, neuroinvasive disease ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10079,"Jamestown CNoon virus, non-neuroinvasive disease ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10081,LaCrosse virus neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10082,LaCrosse virus non-neuroinvasive disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10093,Colorado tick fever virus ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10660,Yellow fever ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,10680,Dengue ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,11704,Dengue-like illness ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,11705,"Dengue, severe ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,11712,Keystone virus disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,11718,California encephalitis virus disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,11724,Trivittatus virus disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,11726,Zika virus disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,11734,Snowshoe hare virus disease ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,11736,Zika Virus Congenital Infection ,Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,50221,"Zika virus infection, non-congenital ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,50222,"Zika virus infection, congenital ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,50223,"Zika virus disease, non-congenital ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,50224,"Zika virus disease, congenital ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Arboviral Diseases,NCEZID,50237,"Flavivirus disease, not otherwise specified ",Arbo_Case_Map_v1.0,Yes,arboviral_v1_3_2_mmg_20210721,legacy_arbo,arboviral_human_case_message_mapping_guide
Vectorborne Diseases,NCEZID,10230,Tularemia,,No,,,
Vectorborne Diseases,NCEZID,10250,Spotted Fever Rickettsiosis ,Lyme_TBRD_MMG_V1.0,No,tbrd,,
Vectorborne Diseases,NCEZID,10255,Q fever,,No,,,
Vectorborne Diseases,NCEZID,10257,"Q fever, Chronic ",,No,,,
Vectorborne Diseases,NCEZID,10258,"Q fever, Acute ",,No,,,
Vectorborne Diseases,NCEZID,10440,Plague,,No,,,
Vectorborne Diseases,NCEZID,11080,Lyme Disease,Lyme_TBRD_MMG_V1.0,No,lyme_disease,,
Vectorborne Diseases,NCEZID,11085,Anaplasma phagocytophilum,Lyme_TBRD_MMG_V1.0,No,tbrd,,
Vectorborne Diseases,NCEZID,11086,Ehrlichia chaffeensis ,Lyme_TBRD_MMG_V1.0,No,tbrd,,
Vectorborne Diseases,NCEZID,11087,"Ehrlichiosis/Anaplasmosis, undetermined ",Lyme_TBRD_MMG_V1.0,No,tbrd,,
Vectorborne Diseases,NCEZID,11088,Ehrlichia chaffeensis ,Lyme_TBRD_MMG_V1.0,No,tbrd,,
Vectorborne Diseases,NCEZID,11089,Ehrlichia ewingii,Lyme_TBRD_MMG_V1.0,No,tbrd,,
Vectorborne Diseases,NCEZID,11090,Anaplasma phagocytophilum,Lyme_TBRD_MMG_V1.0,No,tbrd,,
Vectorborne Diseases,NCEZID,11091,"Ehrlichiosis/Anaplasmosis, undetermined",Lyme_TBRD_MMG_V1.0,No,tbrd,,
